Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,Type,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,900,N.A.,0,0,4,4.94,,389846
"Lip, oral cavity",1,935,N.A.,0,0,4.42,5.56,,258440
Salivary glands,2,900,N.A.,0,0,0.56,0.7,,55083
Salivary glands,2,935,N.A.,0,0,0.52,0.65,,30078
Oropharynx,3,900,N.A.,0,0,1.1,1.35,,106400
Oropharynx,3,935,N.A.,0,0,0.8,1.01,,47021
Nasopharynx,4,900,N.A.,0,0,1.31,1.53,,120434
Nasopharynx,4,935,N.A.,0,0,1.77,2.16,,100298
Hypopharynx,5,900,N.A.,0,0,0.89,1.09,,86257
Hypopharynx,5,935,N.A.,0,0,1.07,1.35,,62887
Oesophagus,6,900,N.A.,0,0,4.97,6.48,,511054
Oesophagus,6,935,N.A.,0,0,6.22,8.24,,382892
Stomach,7,900,N.A.,0,0,9.18,12.29,,968784
Stomach,7,935,N.A.,0,0,11.04,14.88,,691791
Colorectum,41,900,N.A.,0,0,18.35,24.43,,1926425
Colorectum,41,935,N.A.,0,0,15.6,20.79,,966399
Liver and intrahepatic bile ducts,11,900,N.A.,0,0,8.57,10.98,,866136
Liver and intrahepatic bile ducts,11,935,N.A.,0,0,10.02,13.07,,607361
Gallbladder,12,900,N.A.,0,0,1.15,1.55,,122491
Gallbladder,12,935,N.A.,0,0,1.41,1.9,,88112
Pancreas,13,900,N.A.,0,0,4.69,6.48,,510992
Pancreas,13,935,N.A.,0,0,3.64,5,,232537
Larynx,14,900,N.A.,0,0,1.91,2.4,,189191
Larynx,14,935,N.A.,0,0,1.79,2.3,,106765
"Trachea, bronchus and lung",15,900,N.A.,0,0,23.62,31.46,,2480675
"Trachea, bronchus and lung",15,935,N.A.,0,0,25.17,33.7,,1566355
Melanoma of skin,16,900,N.A.,0,0,3.22,4.21,,331722
Melanoma of skin,16,935,N.A.,0,0,0.41,0.54,,25003
Mesothelioma,18,900,N.A.,0,0,0.28,0.39,,30633
Mesothelioma,18,935,N.A.,0,0,0.14,0.18,,8597
Kaposi sarcoma,19,900,N.A.,0,0,0.41,0.45,,35813
Kaposi sarcoma,19,935,N.A.,0,0,0.04,0.05,,2472
Breast,20,900,N.A.,0,0,46.82,58.71,,2296840
Breast,20,935,N.A.,0,0,34.34,43.36,,985817
Vulva,21,900,N.A.,0,0,0.83,1.21,,47336
Vulva,21,935,N.A.,0,0,0.4,0.56,,12717
Vagina,22,900,N.A.,0,0,0.36,0.48,,18819
Vagina,22,935,N.A.,0,0,0.34,0.45,,10171
Cervix uteri,23,900,N.A.,0,0,14.12,16.93,,662301
Cervix uteri,23,935,N.A.,0,0,13.92,17.46,,397082
Corpus uteri,24,900,N.A.,0,0,8.37,10.74,,420368
Corpus uteri,24,935,N.A.,0,0,5.74,7.36,,167430
Ovary,25,900,N.A.,0,0,6.65,8.3,,324603
Ovary,25,935,N.A.,0,0,6.24,7.84,,178223
Penis,26,900,N.A.,0,0,0.79,0.95,,37700
Penis,26,935,N.A.,0,0,0.74,0.91,,21531
Prostate,27,900,N.A.,0,0,29.42,36.95,,1467854
Prostate,27,935,N.A.,0,0,12.55,16.27,,386424
Testis,28,900,N.A.,0,0,1.69,1.81,,72040
Testis,28,935,N.A.,0,0,0.76,0.82,,19388
Kidney,29,900,N.A.,0,0,4.42,5.51,,434840
Kidney,29,935,N.A.,0,0,2.58,3.25,,151276
Bladder,30,900,N.A.,0,0,5.58,7.79,,614298
Bladder,30,935,N.A.,0,0,3.38,4.64,,215755
" Brain, central nervous system",31,900,N.A.,0,0,3.47,4.08,,321731
" Brain, central nervous system",31,935,N.A.,0,0,3.22,3.81,,177139
Thyroid,32,900,N.A.,0,0,9.12,10.41,,821214
Thyroid,32,935,N.A.,0,0,10.73,12.83,,596599
Hodgkin lymphoma,33,900,N.A.,0,0,0.95,1.05,,82469
Hodgkin lymphoma,33,935,N.A.,0,0,0.6,0.66,,30788
Non-Hodgkin lymphoma,34,900,N.A.,0,0,5.57,7.02,,553389
Non-Hodgkin lymphoma,34,935,N.A.,0,0,4.02,5.07,,235442
Multiple myeloma,35,900,N.A.,0,0,1.79,2.38,,187952
Multiple myeloma,35,935,N.A.,0,0,1.21,1.59,,73870
Leukaemia,36,900,N.A.,0,0,5.26,6.18,,487294
Leukaemia,36,935,N.A.,0,0,4.46,4.89,,227206
Other specified cancers,37,900,N.A.,0,0,7.29,8.93,,704447
Other specified cancers,37,935,N.A.,0,0,6.59,8.16,,379394
Unspecified sites,38,900,N.A.,0,0,4.48,5.76,,454535
Unspecified sites,38,935,N.A.,0,0,4.46,5.65,,262433
,20,900,,1,0,0,0,0,0
,21,900,,1,0,0,0,0,0
,22,900,,1,0,0,0,0,0
,23,900,,1,0,0,0,0,0
,24,900,,1,0,0,0,0,0
,25,900,,1,0,0,0,0,0
,26,900,,2,0,0,0,0,0
,27,900,,2,0,0,0,0,0
,28,900,,2,0,0,0,0,0
