Label,Cancer code,Country code (ISO/UN),Alpha‑3 code,Sex,ASR (World),Crude rate,Cumulative risk,Total
"Lip, oral cavity",1,903_904_905_908_909_935,N.A.,0,2.8,3.46,,272998
"Lip, oral cavity",1,903_904_905_908_909_935,N.A.,0,7.43,9.11,,718209
"Lip, oral cavity",1,903_904_905_908_909_935,N.A.,0,11.38,13.88,,1094448
Salivary glands,2,903_904_905_908_909_935,N.A.,0,0.43,0.53,,41788
Salivary glands,2,903_904_905_908_909_935,N.A.,0,1.16,1.41,,111436
Salivary glands,2,903_904_905_908_909_935,N.A.,0,1.79,2.16,,170570
Oropharynx,3,903_904_905_908_909_935,N.A.,0,0.84,1.02,,80169
Oropharynx,3,903_904_905_908_909_935,N.A.,0,2.19,2.62,,206576
Oropharynx,3,903_904_905_908_909_935,N.A.,0,3.28,3.88,,306242
Nasopharynx,4,903_904_905_908_909_935,N.A.,0,0.95,1.1,,86990
Nasopharynx,4,903_904_905_908_909_935,N.A.,0,2.61,3,,236325
Nasopharynx,4,903_904_905_908_909_935,N.A.,0,3.99,4.56,,359560
Hypopharynx,5,903_904_905_908_909_935,N.A.,0,0.55,0.67,,52658
Hypopharynx,5,903_904_905_908_909_935,N.A.,0,1.22,1.46,,115434
Hypopharynx,5,903_904_905_908_909_935,N.A.,0,1.71,2.03,,159986
Oesophagus,6,903_904_905_908_909_935,N.A.,0,3.05,3.89,,306836
Oesophagus,6,903_904_905_908_909_935,N.A.,0,5.75,7.22,,569175
Oesophagus,6,903_904_905_908_909_935,N.A.,0,7.31,9.1,,717169
Stomach,7,903_904_905_908_909_935,N.A.,0,5.24,6.88,,542618
Stomach,7,903_904_905_908_909_935,N.A.,0,11.25,14.65,,1155481
Stomach,7,903_904_905_908_909_935,N.A.,0,15.84,20.63,,1626443
Liver and intrahepatic bile ducts,11,903_904_905_908_909_935,N.A.,0,4.71,5.88,,463683
Liver and intrahepatic bile ducts,11,903_904_905_908_909_935,N.A.,0,9.38,11.57,,912560
Liver and intrahepatic bile ducts,11,903_904_905_908_909_935,N.A.,0,12.06,14.76,,1163723
Gallbladder,12,903_904_905_908_909_935,N.A.,0,0.69,0.89,,70350
Gallbladder,12,903_904_905_908_909_935,N.A.,0,1.34,1.7,,134159
Gallbladder,12,903_904_905_908_909_935,N.A.,0,1.7,2.13,,167953
Pancreas,13,903_904_905_908_909_935,N.A.,0,2.26,2.95,,232335
Pancreas,13,903_904_905_908_909_935,N.A.,0,3.86,4.93,,388682
Pancreas,13,903_904_905_908_909_935,N.A.,0,4.63,5.85,,461479
Larynx,14,903_904_905_908_909_935,N.A.,0,1.41,1.76,,138764
Larynx,14,903_904_905_908_909_935,N.A.,0,3.86,4.79,,377343
Larynx,14,903_904_905_908_909_935,N.A.,0,6.02,7.4,,583868
"Trachea, bronchus and lung",15,903_904_905_908_909_935,N.A.,0,12.49,16.21,,1277987
"Trachea, bronchus and lung",15,903_904_905_908_909_935,N.A.,0,24.88,31.89,,2514730
"Trachea, bronchus and lung",15,903_904_905_908_909_935,N.A.,0,32.15,40.86,,3221461
Melanoma of skin,16,903_904_905_908_909_935,N.A.,0,2.94,3.84,,302570
Melanoma of skin,16,903_904_905_908_909_935,N.A.,0,8.18,10.52,,829731
Melanoma of skin,16,903_904_905_908_909_935,N.A.,0,12.6,16.01,,1262756
Mesothelioma,18,903_904_905_908_909_935,N.A.,0,0.16,0.22,,17382
Mesothelioma,18,903_904_905_908_909_935,N.A.,0,0.3,0.4,,31207
Mesothelioma,18,903_904_905_908_909_935,N.A.,0,0.36,0.46,,36663
Kaposi sarcoma,19,903_904_905_908_909_935,N.A.,0,0.24,0.27,,20962
Kaposi sarcoma,19,903_904_905_908_909_935,N.A.,0,0.62,0.69,,54775
Kaposi sarcoma,19,903_904_905_908_909_935,N.A.,0,0.92,1.04,,82122
Breast,20,903_904_905_908_909_935,N.A.,0,38.08,47.85,,1871979
Breast,20,903_904_905_908_909_935,N.A.,0,107.63,134.34,,5255780
Breast,20,903_904_905_908_909_935,N.A.,0,168.47,209.04,,8178393
Vulva,21,903_904_905_908_909_935,N.A.,0,0.65,0.94,,36962
Vulva,21,903_904_905_908_909_935,N.A.,0,1.72,2.43,,95005
Vulva,21,903_904_905_908_909_935,N.A.,0,2.61,3.63,,142049
Vagina,22,903_904_905_908_909_935,N.A.,0,0.25,0.33,,13078
Vagina,22,903_904_905_908_909_935,N.A.,0,0.64,0.82,,32259
